K,put_value_market,call_value_market
10000,0,0
10500,0,0
11000,0,0
11250,0,0
11500,0,0
11750,0,0
12000,1,0
12250,1,0
12500,0,0
12750,0,0
13000,0,0
13250,0,0
13500,0,0
13750,2,0
14000,0,0
14250,0,0
14500,0,0
14750,0,0
15000,0,0
15250,0,0
15500,0,0
15750,0,0
16000,3,0
16250,0,0
16500,0,0
16750,0,0
17000,4,0
17250,6,0
17500,6,0
17750,5,0
18000,5,0
18250,7,0
18500,6,0
18750,7,0
19000,7,0
19250,0,0
19500,10,0
19750,10,0
20000,11,0
20250,12,0
20500,13,0
20750,14,0
21000,15,0
21250,15,0
21500,18,0
21750,18,0
22000,19,0
22250,21,0
22500,24,0
22750,26,0
23000,28,0
23250,32,0
23500,34,0
23750,39,0
24000,43,0
24250,48,0
24500,54,0
24750,60,0
25000,68,0
25250,76,0
25500,86,0
25750,98,0
26000,110,0
26250,125,0
26375,130,0
26500,145,0
26625,0,0
26750,165,0
26875,175,0
27000,185,0
27125,0,0
27250,220,0
27375,235,0
27500,255,0
27625,270,0
27750,295,0
27875,375,0
28000,345,0
28125,425,0
28250,400,0
28375,485,0
28500,470,0
28625,505,0
28750,550,805
28875,595,800
29000,645,700
29125,755,645
29250,720,590
29375,0,510
29500,0,455
29625,0,430
29750,0,355
29875,0,325
30000,0,275
30125,0,245
30250,0,215
30375,0,195
30500,0,155
30625,0,135
30750,0,125
30875,0,100
31000,0,87
31125,0,74
31250,0,64
31375,0,54
31500,0,47
31625,0,45
31750,0,34
31875,0,34
32000,0,25
32125,0,23
32250,0,19
32500,0,14
32750,0,12
33000,0,8
33250,0,7
33500,0,6
33750,0,4
34000,0,3
34250,0,3
34500,0,2
35000,0,2
36000,0,0
